EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
coral_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,0,3,5,0,0,8,5,16,0,556,10,1,166,90,44,0,867
coral_rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,0,7,9,0,0,0,0,16,0,784,16,0,0,0,0,0,800
fiona_rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,3,5,0,0,0,0,8,0,391,9,0,0,0,0,0,400
bless_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,5969,2629,686,15,1005,74,1837,10378,12479,712212,1327,113,4087,736,45841,1688,778483
bfc_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,167,942,5979,1,91,0,0,7180,718,703426,13612,7,237,0,0,0,718000
bfc_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,694,3903,13122,9,232,0,0,17960,2012,1319522,24908,19,539,0,0,0,1347000
bfc_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,2,5,2,0,1,0,0,10,2,489,4,0,5,0,0,0,500
bless_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,4356,1336,741,8,693,46,1436,7180,11175,650063,1359,83,2825,537,50369,1720,718131
bfc_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,241,1897,12153,1,68,0,0,14360,755,1407036,28018,5,186,0,0,0,1436000
coral_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,5249,2154,2624,5,227,119,11,10378,10072,762349,5525,8,385,120,8,3,778470
fiona_rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,946,6234,0,0,0,0,7180,0,703663,14337,0,0,0,0,0,718000
coral_rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,4953,4181,2383,4,146,104,9,11771,7459,576624,4269,5,181,105,9,0,588652
coral_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,82,108,52,0,6,0,0,248,145,12132,117,0,6,0,0,0,12400
lighter_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,946,6234,0,0,0,0,7180,0,703663,14337,0,0,0,0,0,718000
bless_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,9198,2552,1815,9,715,71,2562,14360,22298,1319093,2862,74,2987,665,84742,3544,1436265
bless_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,11061,4479,1482,14,849,75,2333,17960,22019,1261032,2359,99,3526,662,54938,2462,1347097
fiona_rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,2228,8150,0,0,0,0,10378,0,762743,15607,0,0,0,0,0,778350
