EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
bfc_SRR1543964_raw_21.corrected.fastq.gz,run.bfc.sh,21,4041,39832,2521,198,108,0,0,46700,8430,11100972,4874,211,114,0,0,0,11114601
bfc_SRR1543965_raw_18.corrected.fastq.gz,run.bfc.sh,18,2375,39991,4120,144,70,0,0,46700,4959,11102819,6594,148,80,0,0,0,11114600
bfc_SRR1543965_raw_26.corrected.fastq.gz,run.bfc.sh,26,2671,39991,3876,100,62,0,0,46700,5325,11102825,6270,106,74,0,0,0,11114600
bfc_SRR1543965_raw_16.corrected.fastq.gz,run.bfc.sh,16,2236,39983,4252,153,76,0,0,46700,4751,11102802,6794,156,97,0,0,0,11114600
bfc_SRR1543964_raw_18.corrected.fastq.gz,run.bfc.sh,18,2304,39831,4256,159,150,0,0,46700,5118,11100925,8230,167,161,0,0,0,11114601
bfc_SRR1543965_raw_19.corrected.fastq.gz,run.bfc.sh,19,3833,39991,2660,190,26,0,0,46700,7528,11102869,3977,196,30,0,0,0,11114600
bfc_SRR1543964_raw_20.corrected.fastq.gz,run.bfc.sh,20,2355,39832,4238,131,144,0,0,46700,5170,11100931,8205,140,155,0,0,0,11114601
bfc_SRR1543964_raw_23.corrected.fastq.gz,run.bfc.sh,23,4166,39833,2420,178,102,1,1,46700,8533,11100976,4799,183,109,1,1,0,11114602
bfc_SRR1543964_raw_22.corrected.fastq.gz,run.bfc.sh,22,2552,39833,4016,142,157,0,0,46700,5451,11100920,7921,143,166,0,0,0,11114601
bfc_SRR1543965_raw_28.corrected.fastq.gz,run.bfc.sh,28,2745,39954,3754,116,131,0,0,46700,5454,11102747,6127,120,152,0,0,0,11114600
bfc_SRR1543965_raw_23.corrected.fastq.gz,run.bfc.sh,23,4034,39991,2464,174,37,0,0,46700,7776,11102852,3747,178,47,0,0,0,11114600
bfc_SRR1543965_raw_20.corrected.fastq.gz,run.bfc.sh,20,2465,39991,4021,149,74,0,0,46700,5115,11102813,6433,153,86,0,0,0,11114600
bfc_SRR1543964_raw_24.corrected.fastq.gz,run.bfc.sh,24,2540,39833,4038,129,160,0,0,46700,5476,11100915,7905,134,171,0,0,0,11114601
bfc_SRR1543964_raw_14.corrected.fastq.gz,run.bfc.sh,14,1896,39813,4628,190,173,0,0,46700,4533,11100883,8770,212,203,0,0,0,11114601
bfc_SRR1543964_raw_19.corrected.fastq.gz,run.bfc.sh,19,3941,39832,2610,216,101,0,0,46700,8302,11100980,4988,225,106,0,0,0,11114601
bfc_SRR1543965_raw_21.corrected.fastq.gz,run.bfc.sh,21,3918,39991,2575,183,33,0,0,46700,7655,11102861,3858,188,38,0,0,0,11114600
bfc_SRR1543966_raw_14.corrected.fastq.gz,run.bfc.sh,14,1835,41379,2964,140,382,0,0,46700,3621,11105652,4764,156,407,0,0,0,11114600
bfc_SRR1543964_raw_26.corrected.fastq.gz,run.bfc.sh,26,2553,39833,4005,134,175,0,0,46700,5512,11100903,7866,137,183,0,0,0,11114601
bfc_SRR1543966_raw_16.corrected.fastq.gz,run.bfc.sh,16,1923,41379,2920,106,372,0,0,46700,3864,11105665,4565,112,394,0,0,0,11114600
bfc_SRR1543965_raw_24.corrected.fastq.gz,run.bfc.sh,24,2595,39991,3910,133,71,0,0,46700,5232,11102814,6332,137,85,0,0,0,11114600
bfc_SRR1543965_raw_14.corrected.fastq.gz,run.bfc.sh,14,2098,39960,4351,159,132,0,0,46700,4486,11102727,7050,165,172,0,0,0,11114600
bfc_SRR1543964_raw_16.corrected.fastq.gz,run.bfc.sh,16,2158,39831,4396,166,149,0,0,46700,4806,11100917,8533,176,169,0,0,0,11114601
bfc_SRR1543966_raw_20.corrected.fastq.gz,run.bfc.sh,20,2069,41379,2796,85,371,0,0,46700,4009,11105671,4444,88,388,0,0,0,11114600
bfc_SRR1543966_raw_19.corrected.fastq.gz,run.bfc.sh,19,3208,41379,1651,119,343,0,0,46700,5923,11105709,2494,124,350,0,0,0,11114600
bfc_SRR1543964_raw_28.corrected.fastq.gz,run.bfc.sh,28,2633,39813,3909,140,205,0,0,46700,5628,11100876,7741,146,210,0,0,0,11114601
bfc_SRR1543966_raw_18.corrected.fastq.gz,run.bfc.sh,18,2061,41379,2779,105,376,0,0,46700,3970,11105666,4456,115,393,0,0,0,11114600
bfc_SRR1543965_raw_22.corrected.fastq.gz,run.bfc.sh,22,2535,39991,3978,127,69,0,0,46700,5141,11102813,6430,130,86,0,0,0,11114600
bfc_SRR1543966_raw_22.corrected.fastq.gz,run.bfc.sh,22,2267,41379,2605,78,371,0,0,46700,4286,11105678,4174,81,381,0,0,0,11114600
bfc_SRR1543966_raw_23.corrected.fastq.gz,run.bfc.sh,23,3370,41379,1509,100,342,0,0,46700,6151,11105710,2286,104,349,0,0,0,11114600
bfc_SRR1543967_raw_19.corrected.fastq.gz,run.bfc.sh,19,3269,40990,1458,129,854,0,0,46700,6076,11105260,2254,134,876,0,0,0,11114600
bfc_t1_wgsim_rl__cov_1.1_12.corrected.fastq.gz,run.bfc.sh,12,168,24846,16547,38,5101,0,0,46700,897,4634441,22474,160,12028,0,0,0,4670000
bfc_t1_wgsim_rl__cov_1.1_14.corrected.fastq.gz,run.bfc.sh,14,196,21280,14150,41,11033,0,0,46700,1241,4626921,22140,150,19548,0,0,0,4670000
bfc_SRR1543967_raw_14.corrected.fastq.gz,run.bfc.sh,14,1814,40977,2849,127,933,0,0,46700,3716,11105163,4609,139,973,0,0,0,11114600
bfc_SRR1543967_raw_16.corrected.fastq.gz,run.bfc.sh,16,1954,40989,2772,98,887,0,0,46700,3899,11105223,4462,103,913,0,0,0,11114600
bfc_SRR1543966_raw_28.corrected.fastq.gz,run.bfc.sh,28,2401,41335,2437,78,449,0,0,46700,4499,11105599,3961,81,460,0,0,0,11114600
