,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitiviy,Base Precision,Base Gain,Base Accuracy,Base TP TRIM %,Base FP TRIM %,Dataset,Trim Percent
0,coral_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,0,3,5,0,0,8,5,16,0,556,10,1,166,90,44,0,867,Coral,2,50,0.0,0.0,-25.6,0.641291810842,0.0,1.0,IGH,0.0507497116494
1,coral_rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,0,7,9,0,0,0,0,16,0,784,16,0,0,0,0,0,800,Coral,4,50,0.0,,0.0,0.98,,,IGH,0.0
2,fiona_rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,3,5,0,0,0,0,8,0,391,9,0,0,0,0,0,400,Fiona,2,50,0.0,,0.0,0.9775,,,IGH,0.0
3,bless_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,5969,2629,686,15,1005,74,1837,10378,12479,712212,1327,113,4087,736,45841,1688,778483,Bless,1,75,0.903882369984,0.721246098717,0.554541503694,0.93292438803,0.035515159166,0.964484840834,IGH,0.0610533563353
4,bfc_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,167,942,5979,1,91,0,0,7180,718,703426,13612,7,237,0,0,0,718000,Bfc,1,100,0.0501046755059,0.751832460733,0.0335659455687,0.980701949861,,,IGH,0.0
5,bfc_rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,694,3903,13122,9,232,0,0,17960,2012,1319522,24908,19,539,0,0,0,1347000,Bfc,2,75,0.0747399702823,0.788710309682,0.0547176820208,0.981094283593,,,IGH,0.0
6,bfc_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,2,5,2,0,1,0,0,10,2,489,4,0,5,0,0,0,500,Bfc,1,50,0.333333333333,0.285714285714,-0.5,0.982,,,TRA,0.0
7,bless_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,4356,1336,741,8,693,46,1436,7180,11175,650063,1359,83,2825,537,50369,1720,718131,Bless,1,100,0.891574916228,0.768728073193,0.623344502952,0.922986944645,0.0330204073797,0.96697959262,IGH,0.0725341198194
8,bfc_rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,241,1897,12153,1,68,0,0,14360,755,1407036,28018,5,186,0,0,0,1436000,Bfc,2,100,0.0262398776631,0.802337938363,0.0197754839607,0.980355849582,,,IGH,0.0
9,coral_rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,5249,2154,2624,5,227,119,11,10378,10072,762349,5525,8,385,120,8,3,778470,Coral,1,75,0.645765211259,0.952254892692,0.613387189844,0.992233453698,0.272727272727,0.727272727273,IGH,1.41302811926e-05
