EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
bfc_t1_wgsim_rl_100_cov_1.1_22.corrected.fastq.gz,run.bfc.sh,22,578,26213,16638,35,6536,0,0,50000,2016,4961106,22830,152,13896,0,0,0,5000000
bfc_t1_wgsim_rl_100_cov_1.1_18.corrected.fastq.gz,run.bfc.sh,18,749,20432,12489,76,16254,0,0,50000,2278,4950196,22501,219,24806,0,0,0,5000000
bfc_t1_wgsim_rl_100_cov_1.1_19.corrected.fastq.gz,run.bfc.sh,19,971,22483,13702,76,12768,0,0,50000,2598,4953909,22196,204,21093,0,0,0,5000000
bfc_t1_wgsim_rl_100_cov_1.1_21.corrected.fastq.gz,run.bfc.sh,21,788,25704,16080,46,7382,0,0,50000,2313,4959781,22515,170,15221,0,0,0,5000000
bless_t1_wgsim_rl_100_cov_1.1_19.corrected.fastq.gz,run.bless.sh,19,253,31218,14479,13,3796,241,45388,50000,1281,3967447,18168,72,12627,2348,992868,5477,5000288
bfc_t1_wgsim_rl_100_cov_1.1_24.corrected.fastq.gz,run.bfc.sh,24,550,26537,16931,31,5951,0,0,50000,1908,4962091,22956,134,12911,0,0,0,5000000
bless_t1_wgsim_rl_100_cov_1.1_18.corrected.fastq.gz,run.bless.sh,18,266,31064,14532,8,3877,253,45255,50000,1301,3994389,18285,81,13326,2483,965104,5331,5000300
bless_t1_wgsim_rl_100_cov_1.1_23.corrected.fastq.gz,run.bless.sh,23,270,31785,14237,9,3485,214,45842,50000,1258,3834246,17720,58,10815,1888,1128315,5962,5000262
bless_t1_wgsim_rl_100_cov_1.1_22.corrected.fastq.gz,run.bless.sh,22,281,31676,14273,10,3538,222,45747,50000,1278,3869459,17810,54,11132,2108,1092551,5856,5000248
bless_t1_wgsim_rl_100_cov_1.1_21.corrected.fastq.gz,run.bless.sh,21,274,31507,14364,10,3623,222,45669,50000,1250,3904287,17995,61,11520,2212,1057199,5692,5000216
