EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
fiona_rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,3,5,0,0,0,0,8,0,391,9,0,0,0,0,0,400
bfc_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,2,5,2,0,1,0,0,10,2,489,4,0,5,0,0,0,500
coral_rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,0,3,5,0,0,8,5,16,0,556,10,1,166,90,44,0,867
coral_rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,0,7,9,0,0,0,0,16,0,784,16,0,0,0,0,0,800
coral_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,82,108,52,0,6,0,0,248,145,12132,117,0,6,0,0,0,12400
racer_TRA.rep.seq_sim_rl_50_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,942,631,113,0,22,2,1,1710,1518,83694,169,2,108,14,4,0,85509
sga_TRA.rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq,run.sga.sh,18,689,872,807,1,22,0,0,2391,1264,117132,1116,2,36,0,0,0,119550
musket_TRA.rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.musket.sh,18,1900,1103,80,2,30,0,0,3115,2995,152515,189,3,48,0,0,0,155750
reckoner_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,1876,1332,415,4,42,10,5,3679,2960,180007,693,13,226,81,22,0,184002
pollux_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,3586,691,789,11,317,202,8,5596,9530,547404,1650,52,724,298,13,0,559671
bfc_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,983,739,3707,3,174,0,0,5606,2980,548938,8259,11,412,0,0,0,560600
bless_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,3393,1127,838,4,205,39,1313,5606,8340,506953,1666,29,1094,278,41125,1215,560700
coral_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,3286,717,1210,5,123,265,6,5606,8433,549153,2807,9,174,450,7,1,561034
fiona_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
lighter_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,758,4848,0,0,0,0,5606,0,549350,11250,0,0,0,0,0,560600
musket_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,3666,684,722,14,520,0,0,5606,9526,548030,1690,34,1320,0,0,0,560600
racer_TRA.rep.seq_sim_rl_100_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,4209,707,366,2,234,88,28,5606,10619,546469,573,54,2317,994,155,4,561185
reckoner_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,3522,741,1195,11,96,41,11,5606,8908,548038,2310,32,1103,358,62,0,560811
sga_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,2799,747,1960,6,92,2,1,5606,7625,548970,3604,21,376,6,3,0,560605
lighter_rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.lighter.sh,18,0,911,6159,0,0,0,0,7070,0,692887,14113,0,0,0,0,0,707000
pollux_rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,2078,675,2112,33,1576,696,13,7170,8603,697151,5489,214,4536,1232,15,1,717241
