,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
1460,bfc_t1_wgsim_rl_100_cov_1.1_19.corrected.fastq.gz,run.bfc.sh,19,122,3205,2011,13,2890,0,0,8241,365,815662,3715,29,4329,0,0,0,824100,Bfc,1,100,0.0894607843137,0.0777588410737,-0.971568627451,0.990203858755,T1,0.0,
1471,bfc_t1_wgsim_rl_100_cov_1.1_23.corrected.fastq.gz,run.bfc.sh,23,557,8503,4977,16,3150,0,0,17203,1205,1706411,7258,59,5367,0,0,0,1720300,Bfc,1,100,0.142384497223,0.183353621424,-0.49178778211,0.992626867407,T1,0.0,
1472,bfc_t1_wgsim_rl_100_cov_1.1_24.corrected_limit_limit.fastq,run.bfc.sh,22,2,17,14,0,3,0,0,36,4,3570,22,0,4,0,0,0,3600,Bfc,1,100,0.153846153846,0.5,0.0,0.992777777778,T1,0.0,
1474,bfc_t1_wgsim_rl_100_cov_1.1_24.corrected.fastq.gz,run.bfc.sh,24,3,52,32,0,26,0,0,113,9,11177,50,1,63,0,0,0,11300,Bfc,1,100,0.152542372881,0.125,-0.915254237288,0.989911504425,T1,0.0,
1475,bfc_t1_wgsim_rl_100_cov_1.1_24.corrected_limit.fastq,run.bfc.sh,21,1,27,14,0,10,0,0,52,6,5149,21,1,23,0,0,0,5200,Bfc,1,100,0.222222222222,0.206896551724,-0.62962962963,0.991346153846,T1,0.0,
1504,bless_t1_wgsim_rl_100_cov_1.1_24.corrected.fastq.gz,run.bless.sh,24,31,3479,1537,3,372,27,4978,5449,132,418015,1922,7,1247,157,122825,632,544937,Bless,1,100,0.064264849075,0.0859375,-0.619279454722,0.768221860905,T1,0.226552794176,0.00514553226135
1529,coral_t1_wgsim_rl_100_cov_1.1_19.corrected.fastq.gz,run.coral.sh,19,86,2423,1442,0,18,5,0,3974,131,395422,1814,0,31,5,0,0,397403,Coral,1,100,0.06735218509,0.784431137725,0.0488431876607,0.995344775958,T1,0.0,
1537,coral_t1_wgsim_rl_100_cov_1.1_21.corrected.fastq.gz,run.coral.sh,21,273,6396,3789,0,61,9,0,10528,417,1047510,4755,1,117,16,0,0,1052816,Coral,1,100,0.080626450116,0.758181818182,0.0549110595514,0.995356263583,T1,0.0,
1538,coral_t1_wgsim_rl_100_cov_1.1_21.corrected_limit.fastq,run.coral.sh,20,15,363,224,0,4,1,0,607,27,60392,271,0,9,1,0,0,60700,Coral,1,100,0.0906040268456,0.72972972973,0.0570469798658,0.995370675453,T1,0.0,
1539,coral_t1_wgsim_rl_100_cov_1.1_22.corrected.fastq.gz,run.coral.sh,22,0,25,14,0,0,0,0,39,0,3884,16,0,0,0,0,0,3900,Coral,1,100,0.0,,0.0,0.995897435897,T1,0.0,
