,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
6,bfc_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,2,5,2,0,1,0,0,10,2,489,4,0,5,0,0,0,500,Bfc,1,50,0.333333333333,0.285714285714,-0.5,0.982,TRA,0.0,
12,coral_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.coral.sh,18,82,108,52,0,6,0,0,248,145,12132,117,0,6,0,0,0,12400,Coral,1,50,0.553435114504,0.960264900662,0.530534351145,0.990080645161,TRA,0.0,
18,lighter_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,4377,7721,0,0,0,0,12098,0,592834,12066,0,0,0,0,0,604900,Lighter,1,50,0.0,,0.0,0.980052901306,TRA,0.0,
21,musket_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,5538,4164,1806,6,584,0,0,12098,8942,591594,3096,28,1240,0,0,0,604900,Musket,1,50,0.742814421,0.87821646042,0.639807276956,0.992785584394,TRA,0.0,
24,bless_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,12713,9422,1554,2,484,45,2584,24220,20191,1151603,2398,36,2211,161,33011,1495,1211106,Bless,2,50,0.893842135553,0.894872135798,0.788835273806,0.968736230077,TRA,0.0284913128991,0.0452879343249
27,pollux_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,5962,4185,1317,17,309,254,9,12044,9520,589190,2373,55,797,377,16,0,602328,Pollux,1,50,0.800470865215,0.890218814288,0.701757336248,0.993993305973,TRA,2.65635998991e-05,0.0
28,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,983,739,3707,3,174,0,0,5606,2980,548938,8259,11,412,0,0,0,560600,Bfc,1,100,0.265148144853,0.878537735849,0.228490079189,0.984513021762,TRA,0.0,
29,bfc_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,2165,1680,3945,4,298,0,0,8092,5085,593879,7164,11,761,0,0,0,606900,Bfc,1,75,0.415135929464,0.869825521724,0.35300840885,0.986923710661,TRA,0.0,
33,bless_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,3393,1127,838,4,205,39,1313,5606,8340,506953,1666,29,1094,278,41125,1215,560700,Bless,1,100,0.83349990006,0.858731466227,0.696382170698,0.921013074524,TRA,0.0755127519172,0.0295440729483
34,bfc_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,3284,3395,8895,7,388,1,0,15970,7290,1172722,16716,26,995,2,0,0,1197751,Bfc,2,75,0.30367408148,0.879691082418,0.262142797634,0.98518974311,TRA,0.0,
