,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
0,bfc_SRR1543964_raw_21.corrected.fastq.gz,run.bfc.sh,21,4041,39832,2521,198,108,0,0,46700,8430,11100972,4874,211,114,0,0,0,11114601,Bfc,NA,100,0.633644016837,0.986657303371,0.625075165364,0.99953223692,RSR,0.0,
1,bfc_SRR1543965_raw_18.corrected.fastq.gz,run.bfc.sh,18,2375,39991,4120,144,70,0,0,46700,4959,11102819,6594,148,80,0,0,0,11114600,Bfc,NA,100,0.42923915866,0.984123834094,0.422314550333,0.999386212729,RSR,0.0,
2,bfc_SRR1543965_raw_26.corrected.fastq.gz,run.bfc.sh,26,2671,39991,3876,100,62,0,0,46700,5325,11102825,6270,106,74,0,0,0,11114600,Bfc,NA,100,0.459249676585,0.986293758103,0.452867615351,0.99941968222,RSR,0.0,
3,bfc_SRR1543965_raw_16.corrected.fastq.gz,run.bfc.sh,16,2236,39983,4252,153,76,0,0,46700,4751,11102802,6794,156,97,0,0,0,11114600,Bfc,NA,100,0.411520138588,0.979991749175,0.403118233001,0.999365969086,RSR,0.0,
4,bfc_SRR1543964_raw_18.corrected.fastq.gz,run.bfc.sh,18,2304,39831,4256,159,150,0,0,46700,5118,11100925,8230,167,161,0,0,0,11114601,Bfc,NA,100,0.383428228948,0.969501799583,0.371366496853,0.999230021842,RSR,0.0,
5,bfc_SRR1543965_raw_19.corrected.fastq.gz,run.bfc.sh,19,3833,39991,2660,190,26,0,0,46700,7528,11102869,3977,196,30,0,0,0,11114600,Bfc,NA,100,0.654324206867,0.996030695951,0.651716644937,0.999621848739,RSR,0.0,
6,bfc_SRR1543964_raw_20.corrected.fastq.gz,run.bfc.sh,20,2355,39832,4238,131,144,0,0,46700,5170,11100931,8205,140,155,0,0,0,11114601,Bfc,NA,100,0.386542056075,0.970892018779,0.374953271028,0.999235240203,RSR,0.0,
7,bfc_SRR1543964_raw_23.corrected.fastq.gz,run.bfc.sh,23,4166,39833,2420,178,102,1,1,46700,8533,11100976,4799,183,109,1,1,0,11114602,Bfc,NA,100,0.6400390039,0.987272937637,0.631788178818,0.999541773965,RSR,8.9971732681e-08,0.0
8,bfc_SRR1543964_raw_22.corrected.fastq.gz,run.bfc.sh,22,2552,39833,4016,142,157,0,0,46700,5451,11100920,7921,143,166,0,0,0,11114601,Bfc,NA,100,0.407642835776,0.970446857753,0.395228836375,0.999259532573,RSR,0.0,
9,bfc_SRR1543965_raw_28.corrected.fastq.gz,run.bfc.sh,28,2745,39954,3754,116,131,0,0,46700,5454,11102747,6127,120,152,0,0,0,11114600,Bfc,NA,100,0.470943787238,0.972886193364,0.457818841205,0.999424270779,RSR,0.0,
10,bfc_SRR1543965_raw_23.corrected.fastq.gz,run.bfc.sh,23,4034,39991,2464,174,37,0,0,46700,7776,11102852,3747,178,47,0,0,0,11114600,Bfc,NA,100,0.674824264514,0.993992074652,0.670745465591,0.999642632213,RSR,0.0,
11,bfc_SRR1543965_raw_20.corrected.fastq.gz,run.bfc.sh,20,2465,39991,4021,149,74,0,0,46700,5115,11102813,6433,153,86,0,0,0,11114600,Bfc,NA,100,0.442933841358,0.983464718323,0.435486664357,0.999399708492,RSR,0.0,
12,bfc_SRR1543964_raw_24.corrected.fastq.gz,run.bfc.sh,24,2540,39833,4038,129,160,0,0,46700,5476,11100915,7905,134,171,0,0,0,11114601,Bfc,NA,100,0.409236977804,0.969718434567,0.396457663852,0.999261332008,RSR,0.0,
13,bfc_SRR1543964_raw_14.corrected.fastq.gz,run.bfc.sh,14,1896,39813,4628,190,173,0,0,46700,4533,11100883,8770,212,203,0,0,0,11114601,Bfc,NA,100,0.34075020672,0.957136824324,0.325490490867,0.999173609561,RSR,0.0,
14,bfc_SRR1543964_raw_19.corrected.fastq.gz,run.bfc.sh,19,3941,39832,2610,216,101,0,0,46700,8302,11100980,4988,225,106,0,0,0,11114601,Bfc,NA,100,0.624680210685,0.987392959087,0.616704288939,0.999521440311,RSR,0.0,
15,bfc_SRR1543965_raw_21.corrected.fastq.gz,run.bfc.sh,21,3918,39991,2575,183,33,0,0,46700,7655,11102861,3858,188,38,0,0,0,11114600,Bfc,NA,100,0.664900547208,0.99506044456,0.661599930513,0.999632555378,RSR,0.0,
16,bfc_SRR1543966_raw_14.corrected.fastq.gz,run.bfc.sh,14,1835,41379,2964,140,382,0,0,46700,3621,11105652,4764,156,407,0,0,0,11114600,Bfc,NA,100,0.431842576029,0.898957298908,0.383303518187,0.999520720494,RSR,0.0,
17,bfc_SRR1543964_raw_26.corrected.fastq.gz,run.bfc.sh,26,2553,39833,4005,134,175,0,0,46700,5512,11100903,7866,137,183,0,0,0,11114601,Bfc,NA,100,0.412019733891,0.967866549605,0.398340559127,0.99926349133,RSR,0.0,
18,bfc_SRR1543966_raw_16.corrected.fastq.gz,run.bfc.sh,16,1923,41379,2920,106,372,0,0,46700,3864,11105665,4565,112,394,0,0,0,11114600,Bfc,NA,100,0.458417368608,0.907468294974,0.411673982679,0.999543753261,RSR,0.0,
