,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
30,bfc_t1_wgsim_rl__cov_1.1_12.corrected.fastq.gz,run.bfc.sh,12,168,24846,16547,38,5101,0,0,46700,897,4634441,22474,160,12028,0,0,0,4670000,Bfc,1X,100,0.0383808994052,0.0694003868472,-0.476274014805,0.992577730193,T1,0.0,
31,bfc_t1_wgsim_rl__cov_1.1_14.corrected.fastq.gz,run.bfc.sh,14,196,21280,14150,41,11033,0,0,46700,1241,4626921,22140,150,19548,0,0,0,4670000,Bfc,1X,100,0.053077284975,0.059695031026,-0.782986185364,0.99104111349,T1,0.0,
37,bfc_t1_wgsim_rl__cov_2.1_16.corrected.fastq.gz,run.bfc.sh,16,261,18808,12274,61,15296,0,0,46700,1370,4623142,21799,156,23533,0,0,0,4670000,Bfc,2X,100,0.0591307350339,0.0550134521945,-0.956579912815,0.990259528908,T1,0.0,
39,bfc_t1_wgsim_rl__cov_2.1_12.corrected.fastq.gz,run.bfc.sh,12,202,21045,13866,70,11517,0,0,46700,917,4619208,22106,302,27467,0,0,0,4670000,Bfc,2X,100,0.0398297354819,0.0323069334837,-1.15319463146,0.98932012848,T1,0.0,
40,bfc_t1_wgsim_rl__cov_1.1_16.corrected.fastq.gz,run.bfc.sh,16,184,21564,14293,42,10617,0,0,46700,1238,4628012,22174,119,18457,0,0,0,4670000,Bfc,1X,100,0.052878865539,0.0628585935517,-0.735477532889,0.991274089936,T1,0.0,
42,bfc_t1_wgsim_rl__cov_4.1_12.corrected.fastq.gz,run.bfc.sh,12,354,13392,7949,172,24833,0,0,46700,1177,4595595,21380,625,51223,0,0,0,4670000,Bfc,4X,100,0.0521789245024,0.0224618320611,-2.21864609656,0.984319486081,T1,0.0,
43,bfc_t1_wgsim_rl__cov_1.1_18.corrected.fastq.gz,run.bfc.sh,18,148,24883,16556,15,5098,0,0,46700,1042,4634461,22397,92,12008,0,0,0,4670000,Bfc,1X,100,0.0444558214941,0.079846743295,-0.467852724092,0.992613062099,T1,0.0,
44,bfc_t1_wgsim_rl__cov_4.1_16.corrected.fastq.gz,run.bfc.sh,16,624,19910,12238,47,13881,0,0,46700,1976,4624589,21046,160,22229,0,0,0,4670000,Bfc,4X,100,0.0858309443141,0.0816360256145,-0.879723742507,0.990699143469,T1,0.0,
46,bfc_t1_wgsim_rl__cov_2.1_18.corrected.fastq.gz,run.bfc.sh,18,220,24206,15855,21,6398,0,0,46700,1253,4633186,21980,92,13489,0,0,0,4670000,Bfc,2X,100,0.053931907201,0.0849952516619,-0.52666465803,0.992385224839,T1,0.0,
47,bfc_t1_wgsim_rl__cov_1.1_19.corrected.fastq.gz,run.bfc.sh,19,165,25003,16684,14,4834,0,0,46700,1117,4634625,22320,94,11844,0,0,0,4670000,Bfc,1X,100,0.0476596834066,0.0861816217884,-0.457695097495,0.992664239829,T1,0.0,
48,bfc_t1_wgsim_rl__cov_8.1_12.corrected.fastq.gz,run.bfc.sh,12,401,17905,9618,301,18475,0,0,46700,966,4617902,21574,600,28958,0,0,0,4670000,Bfc,8X,100,0.0428571428571,0.0322817805106,-1.24188110027,0.989050963597,T1,0.0,
49,bfc_t1_wgsim_rl__cov_4.1_14.corrected.fastq.gz,run.bfc.sh,14,638,24255,15304,40,6463,0,0,46700,1959,4633158,21043,180,13660,0,0,0,4670000,Bfc,4X,100,0.0851665072602,0.125424162879,-0.508694896096,0.992530406852,T1,0.0,
53,bfc_t1_wgsim_rl__cov_4.1_18.corrected.fastq.gz,run.bfc.sh,18,579,22927,14533,22,8639,0,0,46700,1839,4630982,21236,107,15836,0,0,0,4670000,Bfc,4X,100,0.0796966413868,0.104045261669,-0.606587215601,0.99203875803,T1,0.0,
54,bfc_t1_wgsim_rl__cov_2.1_19.corrected.fastq.gz,run.bfc.sh,19,266,24729,16081,18,5606,0,0,46700,1343,4633825,21893,89,12850,0,0,0,4670000,Bfc,2X,100,0.057798244104,0.094624110477,-0.495222929936,0.992541327623,T1,0.0,
58,bfc_t1_wgsim_rl__cov_8.1_14.corrected.fastq.gz,run.bfc.sh,14,1275,22705,13799,84,8837,0,0,46700,3057,4630016,19825,258,16844,0,0,0,4670000,Bfc,8X,100,0.133598461673,0.153610371338,-0.602526002972,0.992092719486,T1,0.0,
