,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
0,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bfc.sh,18,983,739,3707,3,174,0,0,5606,2980,548938,8259,11,412,0,0,0,560600,Bfc,1X,100L,0.265148144853,0.878537735849,0.228490079189,0.984513021762,TRA,0.0,
1,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bfc.sh,18,1708,1631,8514,4,241,0,0,12098,4969,1185116,19064,17,634,0,0,0,1209800,Bfc,2X,100L,0.206757375276,0.886846332322,0.18037698165,0.983703918003,TRA,0.0,
2,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.bfc.sh,18,2485,3096,18409,7,223,0,0,24220,6646,2372958,41901,15,480,0,0,0,2422000,Bfc,4X,100L,0.136898263538,0.932641032837,0.127010937854,0.982495458299,TRA,0.0,
3,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_19.corrected.fastq.gz,run.bfc.sh,19,1360,747,3384,3,112,0,0,5606,3590,549044,7649,11,306,0,0,0,560600,Bfc,1X,100L,0.319423436249,0.921457905544,0.292196814663,0.985790224759,TRA,0.0,
4,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_19.corrected.fastq.gz,run.bfc.sh,19,2296,1638,8039,2,123,0,0,12098,5888,1185457,18154,8,293,0,0,0,1209800,Bfc,2X,100L,0.244904750021,0.952596667206,0.232717743948,0.984745412465,TRA,0.0,
5,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_20.corrected.fastq.gz,run.bfc.sh,20,1257,737,3399,5,208,0,0,5606,3728,548867,7509,13,483,0,0,0,560600,Bfc,1X,100L,0.331761146213,0.885300403705,0.288778143633,0.98572065644,TRA,0.0,
6,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_19.corrected.fastq.gz,run.bfc.sh,19,2906,3098,18090,8,116,2,0,24220,7229,2373175,41319,14,261,4,0,0,2422002,Bfc,4X,100L,0.148904177309,0.964638377369,0.143445662025,0.98282495225,TRA,0.0,
7,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_20.corrected.fastq.gz,run.bfc.sh,20,2262,1628,7995,4,209,0,0,12098,6254,1185244,17780,16,506,0,0,0,1209800,Bfc,2X,100L,0.260214695848,0.925147928994,0.239161188317,0.98487187965,TRA,0.0,
8,bfc_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,2516,6422,39258,4,134,0,0,48334,6541,4736215,90318,7,319,0,0,0,4833400,Bfc,8X,100L,0.0675311535325,0.953498542274,0.0642377063567,0.981246327637,TRA,0.0,
9,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_20.corrected.fastq.gz,run.bfc.sh,20,3287,3091,17585,10,245,2,0,24220,8554,2372900,39991,17,536,4,0,0,2422002,Bfc,4X,100L,0.176207642394,0.940620189136,0.165083942734,0.983258477904,TRA,0.0,
10,bfc_TRA.rep.seq_sim_rl_100_cov_8_1_19.corrected.fastq.gz,run.bfc.sh,19,2968,6428,38824,5,109,0,0,48334,7277,4736323,89581,8,211,0,0,0,4833400,Bfc,8X,100L,0.075130603564,0.971821581197,0.0729521567656,0.981420945918,TRA,0.0,
11,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_21.corrected.fastq.gz,run.bfc.sh,21,1580,736,3122,4,164,0,0,5606,4208,548896,7026,16,454,0,0,0,560600,Bfc,1X,100L,0.374577176429,0.902616902617,0.334164144561,0.986628612201,TRA,0.0,
12,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_21.corrected.fastq.gz,run.bfc.sh,21,2747,1633,7551,6,161,0,0,12098,6982,1185384,17054,14,366,0,0,0,1209800,Bfc,2X,100L,0.290480945249,0.950190528035,0.275253785988,0.985589353612,TRA,0.0,
13,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_22.corrected.fastq.gz,run.bfc.sh,22,1483,734,3146,5,238,0,0,5606,4465,548766,6769,16,584,0,0,0,560600,Bfc,1X,100L,0.397454157023,0.884333531392,0.345469111625,0.986855155191,TRA,0.0,
14,bfc_TRA.rep.seq_sim_rl_100_cov_8_1_20.corrected.fastq.gz,run.bfc.sh,20,3467,6423,38272,5,167,0,0,48334,8988,4736173,87870,8,361,0,0,0,4833400,Bfc,8X,100L,0.0927956389766,0.961386244518,0.0890685333168,0.981743906981,TRA,0.0,
15,bfc_TRA.rep.seq_sim_rl_100_cov_4_1_21.corrected.fastq.gz,run.bfc.sh,21,3642,3092,17327,11,145,3,0,24220,9003,2373098,39542,17,337,6,0,0,2422003,Bfc,4X,100L,0.185456792667,0.963299807404,0.178391183438,0.983525206203,TRA,0.0,
16,bfc_TRA.rep.seq_sim_rl_100_cov_2_1_22.corrected.fastq.gz,run.bfc.sh,22,2801,1623,7426,12,236,0,0,12098,7524,1185210,16502,24,540,0,0,0,1209800,Bfc,2X,100L,0.313160742529,0.933035714286,0.290685091151,0.985893536122,TRA,0.0,
17,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_23.corrected.fastq.gz,run.bfc.sh,23,1853,736,2837,4,176,0,0,5606,4940,548903,6293,17,447,0,0,0,560600,Bfc,1X,100L,0.439775660999,0.917022461481,0.399982195317,0.987946842669,TRA,0.0,
18,bfc_TRA.rep.seq_sim_rl_100_cov_1_1_24.corrected.fastq.gz,run.bfc.sh,24,1792,730,2789,9,286,0,0,5606,5264,548670,5968,18,680,0,0,0,560600,Bfc,1X,100L,0.468660968661,0.885598923284,0.40811965812,0.988109168748,TRA,0.0,
19,bless_TRA.rep.seq_sim_rl_100_cov_1_1_18.corrected.fastq.gz,run.bless.sh,18,3393,1127,838,4,205,39,1313,5606,8340,506953,1666,29,1094,278,41125,1215,560700,Bless,1X,100L,0.83349990006,0.858731466227,0.696382170698,0.921013074524,TRA,0.0755127519172,0.0295440729483
20,bfc_TRA.rep.seq_sim_rl_100_cov_16_1_18.corrected.fastq.gz,run.bfc.sh,18,1082,12774,82671,3,80,0,0,96610,3120,9467405,190358,4,113,0,0,0,9661000,Bfc,16X,100L,0.0161258644394,0.965047943087,0.0155418187081,0.980284132077,TRA,0.0,
